"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2024","118.722","118.562","118.722","118.562","","0.14%"
"08/25/2024","118.562","118.562","118.562","118.562","","-0.83%"
"08/23/2024","119.550","119.590","119.780","119.550","","0.46%"
"08/22/2024","119.000","119.250","119.500","119.250","","0.21%"
"08/21/2024","118.750","119.250","119.250","119.250","","-0.04%"
"08/20/2024","118.800","119.250","119.300","119.250","","0.00%"
"08/19/2024","118.800","117.500","119.300","119.000","","1.09%"
"08/16/2024","117.518","117.904","117.904","117.518","","0.44%"
"08/15/2024","117.000","117.500","117.500","117.500","","0.00%"
"08/14/2024","117.000","117.500","117.500","117.500","","0.00%"
"08/13/2024","117.000","117.500","117.500","117.500","","0.00%"
"08/12/2024","117.000","117.500","117.500","117.500","","-0.47%"
"08/09/2024","117.558","117.486","117.628","117.486","","0.48%"
"08/08/2024","117.000","117.500","117.500","117.500","","0.00%"
"08/07/2024","117.000","117.500","117.500","117.500","","0.00%"
"08/06/2024","117.000","117.500","117.500","117.500","","-0.37%"
"08/05/2024","117.431","116.440","117.431","116.440","","-0.01%"
"08/02/2024","117.440","117.399","117.440","117.399","","0.38%"
"08/01/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/31/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/30/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/29/2024","117.000","117.500","117.500","117.500","","-0.38%"
"07/26/2024","117.450","117.504","117.504","117.450","","0.38%"
"07/25/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/24/2024","117.000","117.500","117.500","117.500","","-0.38%"
"07/23/2024","117.441","117.534","117.534","117.441","","-0.08%"
"07/22/2024","117.534","117.485","117.534","117.485","","0.06%"
"07/19/2024","117.460","117.521","117.932","117.460","","0.39%"
"07/18/2024","117.000","117.500","117.500","117.500","","-0.38%"
"07/17/2024","117.449","117.514","117.522","117.449","","0.38%"
"07/16/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/15/2024","117.000","117.500","117.500","117.500","","-0.43%"
"07/12/2024","117.502","117.493","117.502","117.289","","0.43%"
"07/11/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/10/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/09/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/08/2024","117.000","117.500","117.500","117.500","","-0.28%"
"07/05/2024","117.330","117.527","117.527","117.322","","0.28%"
"07/04/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/03/2024","117.000","117.500","117.500","117.500","","0.00%"
"07/02/2024","117.000","117.500","117.500","117.500","","-0.43%"
"07/01/2024","117.507","117.394","117.507","117.107","","0.00%"
"06/28/2024","117.512","117.537","117.567","117.447","","0.44%"
"06/27/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/26/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/25/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/24/2024","117.000","117.500","117.500","117.500","","-0.40%"
"06/21/2024","117.475","117.480","117.739","117.475","","0.41%"
"06/20/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/19/2024","117.000","117.500","117.500","117.500","","-0.44%"
"06/18/2024","117.519","117.482","117.519","117.220","","0.03%"
"06/17/2024","117.482","117.417","117.482","117.417","","-0.01%"
"06/14/2024","117.491","117.778","118.150","117.491","","0.42%"
"06/13/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/12/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/11/2024","117.000","117.500","117.500","117.500","","0.00%"
"06/10/2024","117.000","117.500","117.500","117.500","","-0.37%"
"06/07/2024","117.435","117.274","117.435","117.274","","0.41%"
"06/06/2024","116.950","117.450","117.450","117.450","","0.00%"
"06/05/2024","116.950","117.450","117.450","117.450","","0.00%"
"06/04/2024","116.950","117.400","117.450","117.400","","0.00%"
"06/03/2024","116.950","117.400","117.450","117.400","","-0.35%"
"05/31/2024","117.355","117.406","117.406","117.243","","0.39%"
"05/30/2024","116.900","117.350","117.400","117.350","","0.04%"
"05/29/2024","116.850","117.350","117.350","117.350","","0.00%"
"05/28/2024","116.850","117.350","117.350","117.350","","0.00%"
"05/27/2024","116.850","117.300","117.350","117.300","","-0.31%"
"05/24/2024","117.210","117.299","117.684","117.210","","0.35%"
"05/23/2024","116.800","117.150","117.300","117.150","","-0.35%"
"05/22/2024","117.212","117.178","117.264","117.178","","0.48%"
"05/21/2024","116.650","117.100","117.150","117.100","","0.04%"
"05/20/2024","116.600","117.000","117.100","117.000","","-0.42%"
"05/17/2024","117.091","117.094","117.193","117.091","","0.42%"
"05/16/2024","116.600","117.000","117.100","117.000","","0.00%"
"05/15/2024","116.600","117.000","117.100","117.000","","0.09%"
"05/14/2024","116.500","117.050","117.050","117.000","","0.00%"
"05/13/2024","116.500","117.000","117.000","117.000","","-0.42%"
"05/10/2024","116.994","117.027","117.027","116.518","","0.42%"
"05/09/2024","116.500","117.000","117.000","117.000","","6.39%"
"05/08/2024","109.500","109.750","109.750","109.750","","0.00%"
"05/07/2024","109.500","109.750","109.750","109.750","","0.00%"
"05/06/2024","109.500","109.750","109.750","109.750","","-0.19%"
"05/03/2024","109.708","109.787","109.787","109.473","","0.19%"
"05/02/2024","109.500","109.750","109.750","109.750","","-0.22%"
"05/01/2024","109.737","109.793","110.481","109.737","","0.22%"
"04/30/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/29/2024","109.500","109.750","109.750","109.750","","-0.17%"
"04/26/2024","109.688","109.754","109.754","109.688","","0.17%"
"04/25/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/24/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/23/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/22/2024","109.500","109.750","109.750","109.750","","-0.23%"
"04/19/2024","109.755","109.744","110.137","109.744","","0.23%"
"04/18/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/17/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/16/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/15/2024","109.500","109.750","109.750","109.750","","-0.18%"
"04/12/2024","109.693","109.743","109.787","109.693","","-0.05%"
"04/11/2024","109.743","109.877","111.006","109.743","","-0.12%"
"04/10/2024","109.877","109.764","109.877","109.764","","0.34%"
"04/09/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/08/2024","109.500","109.750","109.750","109.750","","-0.23%"
"04/05/2024","109.748","109.729","109.939","109.729","","0.23%"
"04/04/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/03/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/02/2024","109.500","109.750","109.750","109.750","","0.00%"
"04/01/2024","109.500","109.750","109.750","109.750","","-0.23%"
"03/29/2024","109.747","109.730","109.843","109.730","","0.23%"
"03/28/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/27/2024","109.500","109.750","109.750","109.750","","-0.25%"
"03/26/2024","109.770","109.738","109.770","109.635","","0.25%"
"03/25/2024","109.500","109.750","109.750","109.750","","-0.18%"
"03/22/2024","109.699","109.742","109.742","109.699","","0.18%"
"03/21/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/20/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/19/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/18/2024","109.500","109.750","109.750","109.750","","-0.23%"
"03/15/2024","109.758","109.778","110.398","109.758","","0.24%"
"03/14/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/13/2024","109.500","109.750","109.750","109.750","","0.02%"
"03/12/2024","109.480","109.625","109.750","109.605","","-0.02%"
"03/11/2024","109.500","109.750","109.750","109.750","","-0.26%"
"03/08/2024","109.788","109.265","109.788","109.208","","0.26%"
"03/07/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/06/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/05/2024","109.500","109.750","109.750","109.750","","0.00%"
"03/04/2024","109.500","109.750","109.750","109.750","","-0.19%"
"03/01/2024","109.707","109.801","109.885","109.707","","0.19%"
"02/29/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/28/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/27/2024","109.500","109.750","109.750","109.750","","-0.21%"
"02/26/2024","109.729","109.657","109.861","109.657","","-0.04%"
"02/23/2024","109.777","109.778","110.065","109.777","","0.25%"
"02/22/2024","109.500","109.750","109.750","109.750","","-0.22%"
"02/21/2024","109.744","109.766","109.766","109.618","","0.22%"
"02/20/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/19/2024","109.500","109.750","109.750","109.750","","-0.26%"
"02/16/2024","109.786","109.702","109.786","109.450","","0.26%"
"02/15/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/14/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/13/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/12/2024","109.500","109.750","109.750","109.750","","-0.22%"
"02/09/2024","109.742","109.806","109.806","109.630","","0.22%"
"02/08/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/07/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/06/2024","109.500","109.750","109.750","109.750","","0.00%"
"02/05/2024","109.500","109.750","109.750","109.750","","-0.25%"
"02/02/2024","109.773","109.713","109.773","109.111","","0.25%"
"02/01/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/31/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/30/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/29/2024","109.500","109.750","109.750","109.750","","-0.25%"
"01/26/2024","109.772","109.797","110.258","109.772","","0.25%"
"01/25/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/24/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/23/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/22/2024","109.500","109.750","109.750","109.750","","-0.29%"
"01/19/2024","109.818","109.755","109.818","109.755","","0.29%"
"01/18/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/17/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/16/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/15/2024","109.500","109.750","109.750","109.750","","-0.17%"
"01/12/2024","109.687","109.767","109.809","109.687","","0.17%"
"01/11/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/10/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/09/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/08/2024","109.500","109.750","109.750","109.750","","-0.21%"
"01/05/2024","109.736","109.734","109.736","109.714","","0.22%"
"01/04/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/03/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/02/2024","109.500","109.750","109.750","109.750","","0.00%"
"01/01/2024","109.500","109.750","109.750","109.750","","-0.23%"
"12/29/2023","109.754","110.309","110.309","109.754","","0.23%"
"12/28/2023","109.500","109.750","109.750","109.750","","0.00%"
"12/27/2023","109.500","109.750","109.750","109.750","","0.00%"
"12/26/2023","109.500","109.750","109.750","109.750","","-0.41%"
"12/25/2023","109.946","109.872","109.964","109.872","","0.07%"
"12/22/2023","109.869","109.726","109.869","109.573","","0.34%"
"12/21/2023","109.500","109.750","109.750","109.750","","0.00%"
"12/20/2023","109.500","109.750","109.750","109.750","","0.00%"
"12/19/2023","109.500","109.750","109.750","109.750","","0.00%"
"12/18/2023","109.500","109.750","109.750","109.750","","-0.54%"
"12/15/2023","110.092","109.967","110.092","109.451","","0.31%"
"12/14/2023","109.750","110.000","110.000","110.000","","0.00%"
"12/13/2023","109.750","110.000","110.000","110.000","","0.00%"
"12/12/2023","109.750","110.000","110.000","110.000","","0.00%"
